# days,inflow_mean,inflow_low,inflow_high,release_mean,release_low,release_high,height_mean,height_low,height_high,demand
0.000000000000000000e+00,7.334307692307690729e+01,4.537309868139361413e+01,1.013130551647602005e+02,8.784584615384615347e+01,6.334336346065406786e+01,1.123483288470382320e+02,4.058461538461538565e-01,-6.237270460391330928e-02,8.740650122962210222e-01,8.823399999999999466e+01
1.000000000000000000e+00,6.666307692307697153e+01,3.604340215602177011e+01,9.728275169013217294e+01,9.138892307692307782e+01,6.487623728179841009e+01,1.179016088720477455e+02,3.932307692307691616e-01,-7.277470347498782299e-02,8.592362419365261461e-01,8.823399999999999466e+01
2.000000000000000000e+00,8.143846153846153868e+01,4.746741643641259856e+01,1.154095066405104717e+02,9.194923076923076621e+01,6.476870780444855313e+01,1.191297537340129793e+02,3.873076923076922418e-01,-7.709107278299087707e-02,8.517064573983753606e-01,8.823399999999999466e+01
3.000000000000000000e+00,8.731384615384615699e+01,5.240621473375482964e+01,1.222214775739374772e+02,9.126430769230766771e+01,6.492334982354771000e+01,1.176052655610676254e+02,3.845384615384614957e-01,-7.710052751360912948e-02,8.461774505905321764e-01,8.823399999999999466e+01
4.000000000000000000e+00,7.938153846153846871e+01,4.905892495378111562e+01,1.097041519692958218e+02,8.981199999999995498e+01,6.413719443860603064e+01,1.154868055613938793e+02,3.774615384615386260e-01,-8.098074301322566448e-02,8.359038199363029165e-01,8.823399999999999466e+01
5.000000000000000000e+00,8.062923076923075882e+01,5.195722500066096927e+01,1.093012365378005484e+02,8.948892307692308634e+01,6.371712476809322823e+01,1.152607213857529445e+02,3.719999999999999418e-01,-8.323518858176698343e-02,8.272351885817668116e-01,8.823399999999999466e+01
6.000000000000000000e+00,7.410923076923074859e+01,2.873940439131599334e+01,1.194790571471455110e+02,9.318338461538459683e+01,6.319441652700388090e+01,1.231723527037653128e+02,3.628461538461538183e-01,-8.940545178161996009e-02,8.150977594739275967e-01,8.823399999999999466e+01
7.000000000000000000e+00,9.344461538461541750e+01,1.113143290776389449e+01,1.757577978614669405e+02,9.725076923076922242e+01,5.531548321464148898e+01,1.391860552468969559e+02,3.629999999999999338e-01,-9.311891162114904752e-02,8.191189116211489152e-01,8.823399999999999466e+01
8.000000000000000000e+00,8.639692307692305917e+01,3.129402361605909277e+01,1.414998225377870256e+02,9.881507692307692992e+01,4.900918298322350353e+01,1.486209708629303634e+02,3.565384615384614153e-01,-9.672230826605959786e-02,8.097992313429824840e-01,8.823399999999999466e+01
9.000000000000000000e+00,9.080307692307695788e+01,4.382822614186468257e+01,1.377779277042892261e+02,1.000924615384615208e+02,4.764613668281596404e+01,1.525387863941070918e+02,3.517692307692307230e-01,-9.357284239495794465e-02,7.971113039334194461e-01,8.823399999999999466e+01
1.000000000000000000e+01,8.960615384615383050e+01,4.622466939829972432e+01,1.329876382940079225e+02,9.930492307692307463e+01,4.978318649363217929e+01,1.488266596602139771e+02,3.455384615384614611e-01,-9.208899073372917021e-02,7.831659138106521478e-01,8.823399999999999466e+01
1.100000000000000000e+01,9.336307692307694595e+01,4.085526484721454210e+01,1.458708889989393356e+02,9.672076923076922128e+01,5.856728723188669505e+01,1.348742512296517475e+02,3.419999999999999152e-01,-8.716358724312184281e-02,7.711635872431217287e-01,8.823399999999999466e+01
1.200000000000000000e+01,9.284615384615383959e+01,4.444925287441145656e+01,1.412430548178962226e+02,9.560476923076922162e+01,6.460244975884819496e+01,1.266070887026902483e+02,3.396923076923077933e-01,-8.415352505921092074e-02,7.635381404438265074e-01,8.823399999999999466e+01
1.300000000000000000e+01,8.604769230769231569e+01,5.353327842616630505e+01,1.185621061892183263e+02,9.592999999999997840e+01,6.674414251862593517e+01,1.251158574813740216e+02,3.340000000000001301e-01,-8.439822767678739623e-02,7.523982276767876565e-01,8.823399999999999466e+01
